experiment,condition,trial,order,status,valid,target_ms,iterations,reference_a_ms,a_event_ms,a_effective_gflops,b_event_ms,invalidate_delay_ms,a_pending_before_destroy,destroy_result,cpu_a,cpu_b,cpu_control,t_A_launch_ns,t_A_launch_return_ns,t_A_start_observed_ns,A_start_gpu_ns,t_invalidate_ns,t_invalidate_seen_ns,t_A_query_begin_ns,t_A_query_end_ns,t_destroy_begin_ns,t_destroy_return_ns,t_B_ready_ns,t_B_trigger_seen_ns,t_B_launch_ns,t_B_launch_return_ns,t_B_complete_ns,invalidate_dispatch_us,destroy_latency_us,invalidate_to_destroy_return_us,handoff_us,b_launch_api_us,b_request_us,b_takeover_us,B_start_gpu_ns,B_end_gpu_ns,t_B_start_est_ns,t_B_start_lower_ns,t_B_start_upper_ns,clock_bracket_ns,clock_offset_change_ns,start_est_valid
takeover,destroy,7,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,1,1,0,0,1,2,4237920793065356,4237920793069961,4237920793305613,1790059296912898048,4237920794305746,4237920794306148,4237920794306189,4237920794307362,4237920794308546,4237920909432043,4237920793052111,4237920909433311,4237920909436449,4237920909439599,4237920909597766,0.40200000000000002,115123.497,115126.29700000001,4.4059999999999997,3.1499999999999999,161.31700000000001,115292.02,1790059297029183488,1790059297029183488,4237920909586485.5,4237920909576999,4237920909595972,17380,1883.5,1
takeover,b_with_idle_a,8,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237921092411454,4237921092423311,4237921092652983,nan,nan,nan,nan,11.856999999999999,241.529,nan,1790059297212234752,1790059297212234752,nan,nan,nan,nan,nan,0
takeover,destroy,8,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237921093040898,4237921093045570,4237921093273162,1790059297212860416,4237921094273483,4237921094274042,4237921094274080,4237921094275240,4237921094276416,4237921205889447,4237921093028247,4237921205890346,4237921205893704,4237921205898742,4237921206055977,0.55900000000000005,111613.031,111615.96400000001,4.2569999999999997,5.0380000000000003,162.273,111782.49400000001,1790059297325636608,1790059297325636608,4237921206045683.5,4237921206036304,4237921206055063,17611,1541,1
takeover,b_with_idle_a,9,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.010239999741315842,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237921389208970,4237921389220336,4237921389450582,nan,nan,nan,nan,11.366,241.61199999999999,nan,1790059297509026816,1790059297509027840,nan,nan,nan,nan,nan,0
takeover,destroy,9,0,ok,1,10,1857,9.9727363586425781,nan,nan,0.011264000087976456,1,1,0,0,1,2,4237921389825515,4237921389830206,4237921390058462,1790059297509640192,4237921391058790,4237921391059356,4237921391059395,4237921391060670,4237921391061610,4237921502566816,4237921389812686,4237921502567963,4237921502571189,4237921502574367,4237921502733212,0.56599999999999995,111505.20600000001,111508.026,4.3730000000000002,3.1779999999999999,162.023,111674.42200000001,1790059297622307840,1790059297622307840,4237921502721802.5,4237921502711985,4237921502731620,18042,1740.5,1
calibration,a_only,0,0,ok,1,100,22936,97.611778259277344,97.611778259277344,nan,nan,nan,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,0,0,ok,1,100,22936,97.611778259277344,81.505279541015625,15934.02931267116,nan,nan,-1,-1,0,-1,-1,4237921919567252,4237921919570175,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,0,1,ok,1,100,22936,97.611778259277344,66.856956481933594,19425.166529902435,nan,nan,-1,-1,0,-1,-1,4237922163807709,4237922163811077,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,1,0,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237922239810804,4237922239813599,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,1,1,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237922400284812,4237922400288339,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,2,0,ok,1,100,22936,97.611778259277344,66.764801025390625,19451.979087754669,nan,nan,-1,-1,0,-1,-1,4237922476187514,4237922476190242,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,2,1,ok,1,100,22936,97.611778259277344,66.828285217285156,19433.500487426674,nan,nan,-1,-1,0,-1,-1,4237922689800161,4237922689803216,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,3,0,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237922765758013,4237922765760859,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,3,1,ok,1,100,22936,97.611778259277344,66.88665771484375,19416.540722975693,nan,nan,-1,-1,0,-1,-1,4237922924517509,4237922924521655,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,4,0,ok,1,100,22936,97.611778259277344,66.793472290039062,19443.629277193257,nan,nan,-1,-1,0,-1,-1,4237923000541496,4237923000545660,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,4,1,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237923213694968,4237923213699235,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,5,0,ok,1,100,22936,97.611778259277344,66.764801025390625,19451.979087754669,nan,nan,-1,-1,0,-1,-1,4237923289779417,4237923289782161,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,5,1,ok,1,100,22936,97.611778259277344,66.880508422851562,19418.325966258068,nan,nan,-1,-1,0,-1,-1,4237923451042029,4237923451044674,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,6,0,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237923527064643,4237923527067342,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,6,1,ok,1,100,22936,97.611778259277344,66.764801025390625,19451.979087754669,nan,nan,-1,-1,0,-1,-1,4237923742095710,4237923742098739,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,7,0,ok,1,100,22936,97.611778259277344,66.764801025390625,19451.979087754669,nan,nan,-1,-1,0,-1,-1,4237923818003575,4237923818006489,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,7,1,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237923976298582,4237923976301298,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,8,0,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237924052236844,4237924052240289,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,8,1,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237924266549699,4237924266553012,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_with_idle_b,9,0,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237924342453770,4237924342456546,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
standby,a_only,9,1,ok,1,100,22936,97.611778259277344,66.765823364257812,19451.68123305502,nan,nan,-1,-1,0,-1,-1,4237924501398209,4237924501401882,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,0
takeover,b_with_idle_a,0,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0061440002173185349,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237924715868810,4237924715873853,4237924716029345,nan,nan,nan,nan,5.0430000000000001,160.535,nan,1790059300835548160,1790059300835548160,nan,nan,nan,nan,nan,0
takeover,destroy,0,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0071680000983178616,10,1,0,0,1,2,4237924716305703,4237924716309486,4237924716462054,1790059300835984384,4237924726462507,4237924726463175,4237924726463626,4237924726464796,4237924726466320,4237924891062488,4237924716297436,4237924891063674,4237924891067858,4237924891074618,4237924891178749,0.66800000000000004,164596.16800000001,164599.981,5.3700000000000001,6.7599999999999998,110.89100000000001,164716.242,1790059301010694144,1790059301010694144,4237924891170131,4237924891162223,4237924891178039,13446,2538.5,1
takeover,b_with_idle_a,1,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0081919999793171883,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237925069482446,4237925069503711,4237925069647871,nan,nan,nan,nan,21.265000000000001,165.42500000000001,nan,1790059301189157888,1790059301189157888,nan,nan,nan,nan,nan,0
takeover,destroy,1,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0071680000983178616,10,1,0,0,1,2,4237925070039094,4237925070043900,4237925070196514,1790059301189711872,4237925080197050,4237925080197677,4237925080197775,4237925080198968,4237925080200468,4237925248901117,4237925070025195,4237925248903250,4237925248919332,4237925248943759,4237925249028648,0.627,168700.649,168704.06700000001,18.215,24.427,109.316,168831.598,1790059301368536064,1790059301368536064,4237925249017787.5,4237925249008779,4237925249026796,17263,2645.5,1
takeover,b_with_idle_a,2,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237925420369556,4237925420381105,4237925420535050,nan,nan,nan,nan,11.548999999999999,165.494,nan,1790059301540038656,1790059301540039680,nan,nan,nan,nan,nan,0
takeover,destroy,2,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0071680000983178616,10,1,0,0,1,2,4237925420916810,4237925420921468,4237925421074537,1790059301540583424,4237925431075017,4237925431075798,4237925431076004,4237925431077184,4237925431078709,4237925590929994,4237925420908443,4237925590930932,4237925590934127,4237925590940314,4237925591045432,0.78100000000000003,159851.285,159854.97700000001,4.133,6.1870000000000003,111.30500000000001,159970.41500000001,1790059301710547968,1790059301710547968,4237925591036006.5,4237925591026753,4237925591045260,17395,3240.5,1
takeover,b_with_idle_a,3,0,ok,1,100,22936,97.611778259277344,nan,nan,0.0071680000983178616,nan,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4237925761999669,4237925762015549,4237925762165585,nan,nan,nan,nan,15.880000000000001,165.916,nan,1790059301881662464,1790059301881663488,nan,nan,nan,nan,nan,0
